,ATC_LVL5,ATC_LVL4,ATC_LVL3,ATC_LVL2,ATC_LVL1,active_ingredient,smile_x,ATC_LVL0
239,tizanidine,other centrally acting agents in atc,"muscle relaxants, centrally acting agents",muscle relaxants,musculo-skeletal system drugs,tizanidine,Clc1ccc2nsnc2c1NC1=NCCN1,ROOT
240,ixabepilone,other cytotoxic antibiotics in atc,cytotoxic antibiotics and related substances,antineoplastic agents,antineoplastic and immunomodulating agents,ixabepilone,C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@H](C)C(=O)C(C)(C)[C@H](O)CC(=O)N1,ROOT
241,lansoprazole,proton pump inhibitors for peptic ulcer and gord,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),drugs for acid related disorders,alimentary tract and metabolism drugs,lansoprazole,Cc1c(OCC(F)(F)F)ccnc1CS(=O)c1nc2ccccc2[nH]1,ROOT
242,cyproheptadine,other antihistamines for systemic use in atc,antihistamines for systemic use,antihistamines for systemic use,respiratory system drugs,cyproheptadine,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1,ROOT
243,miconazole,"imidazole derivatives, gyncological antiinfectives","antiinfectives and antiseptics, excl. combinations with corticosteroids",gynecological antiinfectives and antiseptics,genito urinary system and sex hormones,miconazole,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,ROOT
244,miconazole,"imidazole and triazole derivatives, topical antifungals",antifungals for topical use,antifungals for dermatological use,dermatologicals,miconazole,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,ROOT
245,miconazole,"imidazole derivatives, intestinal antiinfectives",intestinal antiinfectives,"antidiarrheals, intestinal antiinflammatory/antiinfective agents",alimentary tract and metabolism drugs,miconazole,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,ROOT
246,miconazole,"imidazole derivatives, antimycotic for systemic use",antimycotics for systemic use,antimycotics for systemic use,antiinfectives for systemic use,miconazole,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,ROOT
247,miconazole,antiinfectives,"antiinfectives, ophthalmologic and otologic",ophthalmological and otological preparations,sensory organ drugs,miconazole,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,ROOT
248,miconazole,antiinfectives,"antiinfective drugs, otologic",otologicals,sensory organ drugs,miconazole,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,ROOT
249,miconazole,antiinfectives and antiseptics for local oral treatment,stomatological preparations,stomatological preparations,alimentary tract and metabolism drugs,miconazole,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,ROOT
250,disopyramide,"antiarrhythmics, class ia","antiarrhythmics, class i and iii",cardiac therapy drugs,cardiovascular system drugs,disopyramide,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,ROOT
251,trilostane,anticorticosteroids,antiadrenal preparations,corticosteroids for systemic use,"systemic hormonal preparations, excl. sex hormones and insulins",trilostane,C[C@]12CC[C@H]3[C@@H](CC[C@@]45O[C@@H]4C(O)=C(C#N)C[C@]35C)[C@@H]1CC[C@@H]2O,ROOT
252,flecainide,"antiarrhythmics, class ic","antiarrhythmics, class i and iii",cardiac therapy drugs,cardiovascular system drugs,flecainide,O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,ROOT
253,fentanyl,opioid anesthetics,"anesthetics, general",anesthetics,nervous system drugs,fentanyl,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,ROOT
254,fentanyl,"phenylpiperidine derivatives, opioid analgesics",opioid analgesics,analgesics,nervous system drugs,fentanyl,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,ROOT
255,mometasone,corticosteroid nasal preparations for topical use,decongestants and other nasal preparations for topical use,nasal preparations,respiratory system drugs,mometasone,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CCl,ROOT
256,mometasone,"corticosteroids, potent (group iii)","corticosteroid dermatological preparations, plain","corticosteroids, dermatological preparations",dermatologicals,mometasone,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CCl,ROOT
257,mometasone,"corticosteroids, potent, other combinations","corticosteroids, other combinations","corticosteroids, dermatological preparations",dermatologicals,mometasone,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CCl,ROOT
258,mometasone,glucocorticoid inhalants for obstructive airway disease,"other drugs for obstructive airway diseases, inhalants in atc",drugs for obstructive airway diseases,respiratory system drugs,mometasone,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CCl,ROOT
259,amcinonide,"corticosteroids, potent (group iii)","corticosteroid dermatological preparations, plain","corticosteroids, dermatological preparations",dermatologicals,amcinonide,CC(=O)OCC(=O)[C@@]12OC3(CCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,ROOT
260,quazepam,benzodiazepine derivative hypnotics and sedatives,hypnotics and sedatives,psycholeptics,nervous system drugs,quazepam,Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21,ROOT
261,oxytetracycline,"antibiotics, ophthalmologic",antiinfective ophthalmologics,ophthalmologicals,sensory organ drugs,oxytetracycline,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12,ROOT
262,oxytetracycline,tetracyclines,tetracycline antibiotics,antibacterials for systemic use,antiinfectives for systemic use,oxytetracycline,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12,ROOT
263,oxytetracycline,"antibiotics, gynecological","antiinfectives and antiseptics, excl. combinations with corticosteroids",gynecological antiinfectives and antiseptics,genito urinary system and sex hormones,oxytetracycline,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12,ROOT
264,oxytetracycline,"tetracycline and derivatives, topical antibiotics",antibiotics for topical use,antibiotics and chemotherapeutics for dermatological use,dermatologicals,oxytetracycline,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12,ROOT
265,tigecycline,tetracyclines,tetracycline antibiotics,antibacterials for systemic use,antiinfectives for systemic use,tigecycline,CN(C)c1cc(NC(=O)CNC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,ROOT
266,alfacalcidol,vitamin d and analogues,"vitamin a and d, incl. combinations of the two",vitamins,alimentary tract and metabolism drugs,alfacalcidol,C=C1/C(=C\C=C2/CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)CCCC(C)C)C[C@@H](O)C[C@@H]1O,ROOT
267,paliperidone,other antipsychotics in atc,antipsychotics,psycholeptics,nervous system drugs,paliperidone,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O,ROOT
268,loteprednol,"corticosteroid ophthalmologic antiinflammatory agents, plain","antiinflammatory agents, ophthalmologic",ophthalmologicals,sensory organ drugs,loteprednol,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)OCCl,ROOT
269,salmeterol,selective beta-2-adrenoreceptor agonist inhalants,"adrenergics, inhalants",drugs for obstructive airway diseases,respiratory system drugs,salmeterol,OCc1cc(C(O)CNCCCCCCOCCCCc2ccccc2)ccc1O,ROOT
270,meprobamate,carbamate anxiolytics,anxiolytics,psycholeptics,nervous system drugs,meprobamate,CCCC(C)(COC(N)=O)COC(N)=O,ROOT
271,minocycline,antiinfectives and antiseptics for local oral treatment,stomatological preparations,stomatological preparations,alimentary tract and metabolism drugs,minocycline,CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,ROOT
272,minocycline,tetracyclines,tetracycline antibiotics,antibacterials for systemic use,antiinfectives for systemic use,minocycline,CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,ROOT
273,procaine,esters of aminobenzoic acid for local anesthesia,local anesthetics,anesthetics,nervous system drugs,procaine,CCN(CC)CCOC(=O)c1ccc(N)cc1,ROOT
274,procaine,local anesthetics for treatment of hemorrhoids and anal fissures for topical use,agents for treatment of hemorrhoids and anal fissures for topical use,vasoprotectives,cardiovascular system drugs,procaine,CCN(CC)CCOC(=O)c1ccc(N)cc1,ROOT
275,procaine,local anesthetics,"local anesthetics, ophthalmologic",ophthalmologicals,sensory organ drugs,procaine,CCN(CC)CCOC(=O)c1ccc(N)cc1,ROOT
276,atenolol,"beta blocking agents, selective",beta blocking agents,beta-adrenergic blocking agents,cardiovascular system drugs,atenolol,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,ROOT
277,bimatoprost,"prostaglandin analogues, antiglaucoma drugs and miotics",antiglaucoma preparations and miotics,ophthalmologicals,sensory organ drugs,bimatoprost,CCNC(=O)CCC/C=C\C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1/C=C/[C@@H](O)CCc1ccccc1,ROOT
278,cefacetrile,first-generation cephalosporins,other beta-lactam antibacterials in atc,antibacterials for systemic use,antiinfectives for systemic use,cefacetrile,CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)CC#N)[C@H]2SC1,ROOT
279,meloxicam,"oxicams, antiinflammatory and antirheumatic drugs","antiinflammatory and antirheumatic products, non-steroids",antiinflammatory and antirheumatic products,musculo-skeletal system drugs,meloxicam,Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,ROOT
280,methyltestosterone,androgens and female sex hormones in combination with other drugs,androgens and female sex hormones in combination,sex hormones and modulators of the genital system,genito urinary system and sex hormones,methyltestosterone,C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,ROOT
281,methyltestosterone,3-oxoandrosten (4) derivatives,androgens,sex hormones and modulators of the genital system,genito urinary system and sex hormones,methyltestosterone,C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,ROOT
282,terconazole,"triazole derivatives, gynecological antiinfectives and antiseptics","antiinfectives and antiseptics, excl. combinations with corticosteroids",gynecological antiinfectives and antiseptics,genito urinary system and sex hormones,terconazole,CC(C)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4cncn4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,ROOT
283,cyproterone,"antiandrogens, plain",antiandrogen sex hormones and modulators of the genital system,sex hormones and modulators of the genital system,genito urinary system and sex hormones,cyproterone,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@@]21C,ROOT
284,alverine,other drugs for functional gastrointestinal disorders in atc,drugs for functional gastrointestinal disorders,drugs for functional gastrointestinal disorders,alimentary tract and metabolism drugs,alverine,CCN(CCCc1ccccc1)CCCc1ccccc1,ROOT
285,ceftazidime,third-generation cephalosporins,other beta-lactam antibacterials in atc,antibacterials for systemic use,antiinfectives for systemic use,ceftazidime,CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12)c1csc(N)n1)C(=O)O,ROOT
286,chlorpropamide,sulfonylureas for blood glucose lowering,"blood glucose lowering drugs, excl. insulins",drugs used in diabetes,alimentary tract and metabolism drugs,chlorpropamide,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,ROOT
287,cefmenoxime,third-generation cephalosporins,other beta-lactam antibacterials in atc,antibacterials for systemic use,antiinfectives for systemic use,cefmenoxime,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@H]12)c1csc(N)n1,ROOT
288,aprindine,"antiarrhythmics, class ib","antiarrhythmics, class i and iii",cardiac therapy drugs,cardiovascular system drugs,aprindine,CCN(CC)CCCN(c1ccccc1)C1Cc2ccccc2C1,ROOT
289,amsacrine,other antineoplastic agents in atc,other antineoplastic agents in atc,antineoplastic agents,antineoplastic and immunomodulating agents,amsacrine,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,ROOT
290,griseofulvin,antifungals for systemic use,antifungals for systemic use,antifungals for dermatological use,dermatologicals,griseofulvin,COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O,ROOT
291,griseofulvin,"antifungal antibiotics, topical",antifungals for topical use,antifungals for dermatological use,dermatologicals,griseofulvin,COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O,ROOT
292,escitalopram,selective serotonin reuptake inhibitors,antidepressants,psychoanaleptics,nervous system drugs,escitalopram,CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,ROOT
293,ranolazine,other plain cardiac preparations in atc,other cardiac preparations in atc,cardiac therapy drugs,cardiovascular system drugs,ranolazine,COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1,ROOT
294,triflupromazine,"phenothiazines with aliphatic side-chain, antipsychotics",antipsychotics,psycholeptics,nervous system drugs,triflupromazine,CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,ROOT
295,nafcillin,beta-lactamase resistant penicillins,"beta-lactam antibacterials, penicillins",antibacterials for systemic use,antiinfectives for systemic use,nafcillin,CCOc1ccc2ccccc2c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,ROOT
296,temozolomide,other alkylating agents in atc,alkylating agents,antineoplastic agents,antineoplastic and immunomodulating agents,temozolomide,Cn1nnc2c(C(N)=O)ncn2c1=O,ROOT
297,pitavastatin,"hmg coa reductase inhibitors, plain lipid modifying drugs","lipid modifying agents, plain",lipid modifying agents,cardiovascular system drugs,pitavastatin,O=C(O)C[C@H](O)C[C@H](O)/C=C/c1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1,ROOT
298,sotalol,"beta blocking agents, non-selective",beta blocking agents,beta-adrenergic blocking agents,cardiovascular system drugs,sotalol,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,ROOT
299,plerixafor,other immunostimulants in atc,immunostimulants,immunostimulants,antineoplastic and immunomodulating agents,plerixafor,c1cc(CN2CCCNCCNCCCNCC2)ccc1CN1CCCNCCNCCCNCC1,ROOT
300,pranlukast,leukotriene receptor antagonists for obstructive airway diseases,other systemic drugs for obstructive airway diseases in atc,drugs for obstructive airway diseases,respiratory system drugs,pranlukast,O=C(Nc1ccc2c(=O)cc(-c3nn[nH]n3)oc2c1)c1ccc(OCCCCc2ccccc2)cc1,ROOT
301,indapamide,"sulfonamides, low-ceiling diuretics, plain","low-ceiling diuretics, excl. thiazides",diuretics,cardiovascular system drugs,indapamide,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,ROOT
302,nitrendipine,dihydropyridine derivative selective calcium channel blockers with mainly vascular effects,selective calcium channel blockers with mainly vascular effects,calcium channel blockers,cardiovascular system drugs,nitrendipine,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,ROOT
303,terfenadine,other antihistamines for systemic use in atc,antihistamines for systemic use,antihistamines for systemic use,respiratory system drugs,terfenadine,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,ROOT
304,methotrexate,other immunosuppressants in atc,immunosuppressants,immunosuppressants,antineoplastic and immunomodulating agents,methotrexate,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,ROOT
305,methotrexate,"folic acid analogs, antimetabolites",antimetabolites,antineoplastic agents,antineoplastic and immunomodulating agents,methotrexate,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,ROOT
306,streptozocin,"nitrosoureas, antineoplastic alkylating agents",alkylating agents,antineoplastic agents,antineoplastic and immunomodulating agents,streptozocin,CN(N=O)C(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,ROOT
307,estrone,"estrogens, combinations with other drugs","estrogens, sex hormones and modulators of the genital system",sex hormones and modulators of the genital system,genito urinary system and sex hormones,estrone,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,ROOT
308,estrone,"natural and semisynthetic estrogens, plain","estrogens, sex hormones and modulators of the genital system",sex hormones and modulators of the genital system,genito urinary system and sex hormones,estrone,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,ROOT
309,fomepizole,antidotes,all other therapeutic products,all other therapeutic products,various drug classes in atc,fomepizole,Cc1cn[nH]c1,ROOT
310,metaraminol,adrenergic and dopaminergic cardiac stimulants,cardiac stimulants excl. cardiac glycosides,cardiac therapy drugs,cardiovascular system drugs,metaraminol,C[C@H](N)[C@H](O)c1cccc(O)c1,ROOT
311,ganciclovir,nucleosides and nucleotides excl. reverse transcriptase inhibitors,direct acting antivirals,antivirals for systemic use,antiinfectives for systemic use,ganciclovir,Nc1nc(=O)c2ncn(COC(CO)CO)c2[nH]1,ROOT
312,ganciclovir,"antivirals, ophthalmologic",antiinfective ophthalmologics,ophthalmologicals,sensory organ drugs,ganciclovir,Nc1nc(=O)c2ncn(COC(CO)CO)c2[nH]1,ROOT
313,pomalidomide,other immunosuppressants in atc,immunosuppressants,immunosuppressants,antineoplastic and immunomodulating agents,pomalidomide,Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,ROOT
314,isotretinoin,retinoids for treatment of acne,anti-acne preparations for systemic use,anti-acne preparations,dermatologicals,isotretinoin,CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1,ROOT
315,isotretinoin,retinoids for topical use in acne,anti-acne preparations for topical use,anti-acne preparations,dermatologicals,isotretinoin,CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1,ROOT
316,ertapenem,carbapenems,other beta-lactam antibacterials in atc,antibacterials for systemic use,antiinfectives for systemic use,ertapenem,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)Nc4cccc(C(=O)O)c4)C3)[C@H](C)[C@H]12,ROOT
317,buclizine,"piperazine derivatives, systemic antihistamines",antihistamines for systemic use,antihistamines for systemic use,respiratory system drugs,buclizine,CC(C)(C)c1ccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)cc1,ROOT
318,chloropyramine,"substituted ethylene diamines, systemic antihistamines",antihistamines for systemic use,antihistamines for systemic use,respiratory system drugs,chloropyramine,CN(C)CCN(Cc1ccc(Cl)cc1)c1ccccn1,ROOT
319,chloropyramine,antihistamines for topical use,"antipruritics, incl. antihistamines, anesthetics, etc.","antipruritics, incl. antihistamines, anesthetics, etc.",dermatologicals,chloropyramine,CN(C)CCN(Cc1ccc(Cl)cc1)c1ccccn1,ROOT
320,theobromine,"xanthines, systemic for obstructive airway disease",other systemic drugs for obstructive airway diseases in atc,drugs for obstructive airway diseases,respiratory system drugs,theobromine,Cn1cnc2c1c(=O)[nH]c(=O)n2C,ROOT
321,theobromine,"xanthine derivatives, low-ceiling diuretics","low-ceiling diuretics, excl. thiazides",diuretics,cardiovascular system drugs,theobromine,Cn1cnc2c1c(=O)[nH]c(=O)n2C,ROOT
322,bambuterol,"selective beta-2-adrenoreceptor agonists, systemic",adrenergics for systemic use,drugs for obstructive airway diseases,respiratory system drugs,bambuterol,CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc(C(O)CNC(C)(C)C)c1,ROOT
323,dexfenfluramine,centrally acting antiobesity products,"antiobesity preparations, excl. diet products","antiobesity preparations, excl. diet products",alimentary tract and metabolism drugs,dexfenfluramine,CCN[C@@H](C)Cc1cccc(C(F)(F)F)c1,ROOT
324,pioglitazone,"thiazolidinediones, blood glucose lowering drugs","blood glucose lowering drugs, excl. insulins",drugs used in diabetes,alimentary tract and metabolism drugs,pioglitazone,CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1,ROOT
325,iloprost,platelet aggregation inhibitors excl. heparin,antithrombotic agents,antithrombotic agents,blood and blood forming organ drugs,iloprost,CC#CCC(C)C(O)/C=C/C1C(O)CC2C/C(=C/CCCC(=O)OCC(=O)c3ccccc3)CC21,ROOT
326,methoxamine,adrenergic and dopaminergic cardiac stimulants,cardiac stimulants excl. cardiac glycosides,cardiac therapy drugs,cardiovascular system drugs,methoxamine,COc1ccc(OC)c(C(O)C(C)N)c1,ROOT
327,albendazole,"benzimidazole derivatives, antinematodal",antinematodal agents,anthelmintics,"antiparasitic products, insecticides and repellents",albendazole,CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1,ROOT
328,ramelteon,"melatonin receptor agonists, hypnotics and sedatives",hypnotics and sedatives,psycholeptics,nervous system drugs,ramelteon,CCC(=O)NCC[C@@H]1CCc2ccc3c(c21)CCO3,ROOT
329,procarbazine,"methylhydrazines, antineoplastics",other antineoplastic agents in atc,antineoplastic agents,antineoplastic and immunomodulating agents,procarbazine,CNNCc1ccc(C(=O)NC(C)C)cc1,ROOT
330,mianserin,other antidepressants in atc,antidepressants,psychoanaleptics,nervous system drugs,mianserin,CN1CCN2c3ccccc3Cc3ccccc3C2C1,ROOT
331,hexachlorophene,"phenol and derivatives, antiseptics and disinfectants",antiseptics and disinfectants,antiseptics and disinfectants,dermatologicals,hexachlorophene,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,ROOT
332,nifedipine,dihydropyridine derivative selective calcium channel blockers with mainly vascular effects,selective calcium channel blockers with mainly vascular effects,calcium channel blockers,cardiovascular system drugs,nifedipine,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],ROOT
333,nicergoline,ergot alkaloid peripheral vasodilators,peripheral vasodilators,peripheral vasodilators,cardiovascular system drugs,nicergoline,CO[C@]12C[C@@H](COC(=O)c3cncc(Br)c3)CN(C)[C@@H]1Cc1cn(C)c3cccc2c13,ROOT
334,desonide,"corticosteroid ophthalmologic antiinflammatory agents, plain","antiinflammatory agents, ophthalmologic",ophthalmologicals,sensory organ drugs,desonide,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,ROOT
335,desonide,"corticosteroids, moderately potent (group ii)","corticosteroid dermatological preparations, plain","corticosteroids, dermatological preparations",dermatologicals,desonide,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,ROOT
336,tamoxifen,anti-estrogens,hormone antagonists and related agents,endocrine therapy antineoplastic and immunomodulating agents,antineoplastic and immunomodulating agents,tamoxifen,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,ROOT
337,sulfanilamide,"sulfonamides, topical",chemotherapeutics for topical use,antibiotics and chemotherapeutics for dermatological use,dermatologicals,sulfanilamide,Nc1ccc(S(N)(=O)=O)cc1,ROOT
338,sulfanilamide,short-acting sulfonamides,sulfonamides and trimethoprim antibacterials for systemic use,antibacterials for systemic use,antiinfectives for systemic use,sulfanilamide,Nc1ccc(S(N)(=O)=O)cc1,ROOT
339,palonosetron,"serotonin (5ht3) antagonists, antiemetics and antinauseants",antiemetics and antinauseants,antiemetics and antinauseants,alimentary tract and metabolism drugs,palonosetron,O=C1c2cccc3c2[C@@H](CCC3)CN1[C@@H]1CN2CCC1CC2,ROOT
340,dronedarone,"antiarrhythmics, class iii","antiarrhythmics, class i and iii",cardiac therapy drugs,cardiovascular system drugs,dronedarone,CCCCc1oc2ccc(NS(C)(=O)=O)cc2c1C(=O)c1ccc(OCCCN(CCCC)CCCC)cc1,ROOT
341,nitroxoline,other antibacterials in atc,other antibacterials in atc,antibacterials for systemic use,antiinfectives for systemic use,nitroxoline,O=[N+]([O-])c1ccc(O)c2ncccc12,ROOT
342,irinotecan,other antineoplastic agents in atc,other antineoplastic agents in atc,antineoplastic agents,antineoplastic and immunomodulating agents,irinotecan,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,ROOT
343,sulfaphenazole,long-acting sulfonamides,sulfonamides and trimethoprim antibacterials for systemic use,antibacterials for systemic use,antiinfectives for systemic use,sulfaphenazole,Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1,ROOT
344,cefotetan,second-generation cephalosporins,other beta-lactam antibacterials in atc,antibacterials for systemic use,antiinfectives for systemic use,cefotetan,CO[C@@]1(NC(=O)C2SC(=C(C(N)=O)C(=O)O)S2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21,ROOT
345,loracarbef,second-generation cephalosporins,other beta-lactam antibacterials in atc,antibacterials for systemic use,antiinfectives for systemic use,loracarbef,N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CC[C@H]12)c1ccccc1,ROOT
346,boceprevir,antivirals for treatment of hcv infections,direct acting antivirals,antivirals for systemic use,antiinfectives for systemic use,boceprevir,CC(C)(C)NC(=O)N[C@H](C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)NC(CC1CCC1)C(=O)C(N)=O)C2(C)C)C(C)(C)C,ROOT
347,hydrocortisone,"glucocorticoids, systemic","corticosteroids for systemic use, plain",corticosteroids for systemic use,"systemic hormonal preparations, excl. sex hormones and insulins",hydrocortisone,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,ROOT
348,hydrocortisone,corticosteroids,corticosteroid otologicals,otologicals,sensory organ drugs,hydrocortisone,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,ROOT
349,hydrocortisone,corticosteroids,corticosteroid ophthalmologic and otologic preparations,ophthalmological and otological preparations,sensory organ drugs,hydrocortisone,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,ROOT
