ATC_LVL5,ATC_LVL4,ATC_LVL3,ATC_LVL2,ATC_LVL1
hydrogen peroxide,antiinfectives and antiseptics for local oral treatment,stomatological preparations,stomatological preparations,alimentary tract and metabolism drugs
"cinnarizine, combinations",antivertigo preparations,antivertigo preparations,other nervous system drugs in atc,nervous system drugs
neomycin,antibiotic throat preparations,throat preparations,throat preparations,respiratory system drugs
ammonium chloride,acidifiers,urologicals,urologicals,genito urinary system and sex hormones
exenatide,glucagon-like peptide-1 (glp-1) analogues,"blood glucose lowering drugs, excl. insulins",drugs used in diabetes,alimentary tract and metabolism drugs
suprofen,"propionic acid derivatives, antiinflammatory and antirheumatic products","antiinflammatory and antirheumatic products, non-steroids",antiinflammatory and antirheumatic products,musculo-skeletal system drugs
lidocaine,local anesthetic throat preparations,throat preparations,throat preparations,respiratory system drugs
sodium glycerophosphate,electrolyte solutions,i.v. solution additives,blood substitutes and perfusion solutions,blood and blood forming organ drugs
diphemanil,"synthetic anticholinergics, quaternary ammonium compounds for functional gastrointestinal disorders",drugs for functional gastrointestinal disorders,drugs for functional gastrointestinal disorders,alimentary tract and metabolism drugs
bacitracin,antibiotic throat preparations,throat preparations,throat preparations,respiratory system drugs
clemastine,antihistamines for topical use,"antipruritics, incl. antihistamines, anesthetics, etc.","antipruritics, incl. antihistamines, anesthetics, etc.",dermatologicals
"benzoyl peroxide, combinations",peroxide anti-acne preparations for topical use,anti-acne preparations for topical use,anti-acne preparations,dermatologicals
acetarsol,"arsenic compounds, gynecological","antiinfectives and antiseptics, excl. combinations with corticosteroids",gynecological antiinfectives and antiseptics,genito urinary system and sex hormones
sertaconazole,"imidazole and triazole derivatives, topical antifungals",antifungals for topical use,antifungals for dermatological use,dermatologicals
albiglutide,glucagon-like peptide-1 (glp-1) analogues,"blood glucose lowering drugs, excl. insulins",drugs used in diabetes,alimentary tract and metabolism drugs
"cromoglicic acid, combinations",other antiallergics in atc,decongestants and antiallergics,ophthalmologicals,sensory organ drugs
"sterculia, combinations",bulk-forming laxatives,drugs for constipation,drugs for constipation,alimentary tract and metabolism drugs
colextran,bile acid sequestrants,"lipid modifying agents, plain",lipid modifying agents,cardiovascular system drugs
nitrofural,"nitrofuran derivatives, antiseptics and disinfectants",antiseptics and disinfectants,antiseptics and disinfectants,dermatologicals
tromantadine,"cyclic amines, direct acting antivirals",direct acting antivirals,antivirals for systemic use,antiinfectives for systemic use
apomorphine,drugs used in erectile dysfunction,urologicals,urologicals,genito urinary system and sex hormones
proxibarbal,"barbiturates, hypnotics and sedatives, plain",hypnotics and sedatives,psycholeptics,nervous system drugs
"ibuprofen, combinations","propionic acid derivatives, antiinflammatory and antirheumatic products","antiinflammatory and antirheumatic products, non-steroids",antiinflammatory and antirheumatic products,musculo-skeletal system drugs
polynoxylin,antiinfectives and antiseptics for local oral treatment,stomatological preparations,stomatological preparations,alimentary tract and metabolism drugs
calcium antacid compound combinations,antacids containing calcium compounds,antacids,drugs for acid related disorders,alimentary tract and metabolism drugs
choriogonadotropin alfa,gonadotropins,gonadotropins and other ovulation stimulants,sex hormones and modulators of the genital system,genito urinary system and sex hormones
mercuric chloride,mercurial antiseptic and disinfectant products,antiseptics and disinfectants,antiseptics and disinfectants,dermatologicals
carboquone,"ethylene imines, antineoplastic alkylating drugs",alkylating agents,antineoplastic agents,antineoplastic and immunomodulating agents
adinazolam,benzodiazepine derivative anxiolytics,anxiolytics,psycholeptics,nervous system drugs
levofloxacin,"fluoroquinolone antibacterials, systemic",quinolone antibacterials,antibacterials for systemic use,antiinfectives for systemic use
opium,natural opium alkaloid analgesics,opioid analgesics,analgesics,nervous system drugs
oxymetholone,androstan derivatives,anabolic steroids,anabolic agents for systemic use,alimentary tract and metabolism drugs
insulin (human),insulins and analogues for inhalation,insulins and analogues,drugs used in diabetes,alimentary tract and metabolism drugs
other meningococcal monovalent purified polysaccharides antigen,meningococcal vaccines,bacterial vaccines,vaccines,antiinfectives for systemic use
aminohippuric acid,renal function and ureteral injuries test diagnostic agents,other diagnostic agents in atc,diagnostic agents,various drug classes in atc
cefadroxil,first-generation cephalosporins,other beta-lactam antibacterials in atc,antibacterials for systemic use,antiinfectives for systemic use
aceclofenac,acetic acid derivatives and related substances,"antiinflammatory and antirheumatic products, non-steroids",antiinflammatory and antirheumatic products,musculo-skeletal system drugs
mitotane,other antineoplastic agents in atc,other antineoplastic agents in atc,antineoplastic agents,antineoplastic and immunomodulating agents
furosemide,"sulfonamides, high-ceiling diuretics, plain",high-ceiling diuretics,diuretics,cardiovascular system drugs
tienilic acid,"aryloxyacetic acid derivatives, high-ceiling diuretics",high-ceiling diuretics,diuretics,cardiovascular system drugs
oritavancin,glycopeptide antibacterials,other antibacterials in atc,antibacterials for systemic use,antiinfectives for systemic use
bacitracin,other antibiotics for topical use in atc,antibiotics for topical use,antibiotics and chemotherapeutics for dermatological use,dermatologicals
antilymphocyte immunoglobulin (horse),selective immunosuppressants,immunosuppressants,immunosuppressants,antineoplastic and immunomodulating agents
pivampicillin,penicillins with extended spectrum,"beta-lactam antibacterials, penicillins",antibacterials for systemic use,antiinfectives for systemic use
electrolytes in combination with other drugs,electrolyte solutions,i.v. solution additives,blood substitutes and perfusion solutions,blood and blood forming organ drugs
fluprednidene,"corticosteroids, moderately potent, other combinations","corticosteroids, other combinations","corticosteroids, dermatological preparations",dermatologicals
camylofin,"synthetic anticholinergics, esters with tertiary amino group for functional gastrointestinal disorders",drugs for functional gastrointestinal disorders,drugs for functional gastrointestinal disorders,alimentary tract and metabolism drugs
meclozine,"piperazine derivatives, systemic antihistamines",antihistamines for systemic use,antihistamines for systemic use,respiratory system drugs
debrisoquine,"guanine derivatives, peripherally acting antiadrenergic agents","antiadrenergic agents, peripherally acting",antihypertensives,cardiovascular system drugs
gusperimus,selective immunosuppressants,immunosuppressants,immunosuppressants,antineoplastic and immunomodulating agents
alglucerase,enzymes for alimentary tract and metabolism,other alimentary tract and metabolism products in atc,other alimentary tract and metabolism products in atc,alimentary tract and metabolism drugs
oxandrolone,androstan derivatives,anabolic steroids,anabolic agents for systemic use,alimentary tract and metabolism drugs
trimazosin,"alpha-adrenoreceptor antagonists, peripherally acting","antiadrenergic agents, peripherally acting",antihypertensives,cardiovascular system drugs
"hepatitis b, purified antigen",hepatitis vaccines,viral vaccines,vaccines,antiinfectives for systemic use
barbexaclone,barbiturates and derivatives,antiepileptics,antiepileptics,nervous system drugs
famciclovir,"antivirals, ophthalmologic",antiinfective ophthalmologics,ophthalmologicals,sensory organ drugs
bopindolol and other diuretics,"beta blocking agents, non-selective, and other diuretics",beta blocking agents and other diuretics,beta-adrenergic blocking agents,cardiovascular system drugs
alfentanil,opioid anesthetics,"anesthetics, general",anesthetics,nervous system drugs
cefminox,second-generation cephalosporins,other beta-lactam antibacterials in atc,antibacterials for systemic use,antiinfectives for systemic use
sodium phenylbutyrate,various alimentary tract and metabolism products,other alimentary tract and metabolism products in atc,other alimentary tract and metabolism products in atc,alimentary tract and metabolism drugs
hexocyclium,"synthetic anticholinergics, quaternary ammonium compounds for functional gastrointestinal disorders",drugs for functional gastrointestinal disorders,drugs for functional gastrointestinal disorders,alimentary tract and metabolism drugs
nevirapine,non-nucleoside reverse transcriptase inhibitors,direct acting antivirals,antivirals for systemic use,antiinfectives for systemic use
cyclothiazide,"thiazides, plain","low-ceiling diuretics, thiazides",diuretics,cardiovascular system drugs
sulfalene,long-acting sulfonamides,sulfonamides and trimethoprim antibacterials for systemic use,antibacterials for systemic use,antiinfectives for systemic use
fluperolone,"corticosteroids, moderately potent (group ii)","corticosteroid dermatological preparations, plain","corticosteroids, dermatological preparations",dermatologicals
aloxiprin,platelet aggregation inhibitors excl. heparin,antithrombotic agents,antithrombotic agents,blood and blood forming organ drugs
insulin lispro,"insulins and analogues for injection, fast-acting",insulins and analogues,drugs used in diabetes,alimentary tract and metabolism drugs
hydroquinone,other dermatological preparations in atc,other dermatological preparations in atc,other dermatological preparations in atc,dermatologicals
diiodotyrosine,other antithyroid preparations in atc,antithyroid preparations,thyroid therapy drugs,"systemic hormonal preparations, excl. sex hormones and insulins"
erythropoietin,other antianemic preparations in atc,other antianemic preparations in atc,antianemic preparations,blood and blood forming organ drugs
chloramphenicol,"antibiotics, gynecological","antiinfectives and antiseptics, excl. combinations with corticosteroids",gynecological antiinfectives and antiseptics,genito urinary system and sex hormones
zinc preparations,other agents for treatment of hemorrhoids and anal fissures for topical use in atc,agents for treatment of hemorrhoids and anal fissures for topical use,vasoprotectives,cardiovascular system drugs
chlordiazepoxide,benzodiazepine derivative anxiolytics,anxiolytics,psycholeptics,nervous system drugs
tegaserod,other drugs for constipation in atc,drugs for constipation,drugs for constipation,alimentary tract and metabolism drugs
furazidin,"nitrofuran derivatives, antibacterials for systemic use",other antibacterials in atc,antibacterials for systemic use,antiinfectives for systemic use
tetryzoline,"sympathomimetics, combinations excl. corticosteroids",decongestants and other nasal preparations for topical use,nasal preparations,respiratory system drugs
pitofenone and analgesics,synthetic anticholinergic agents in combination with analgesics,antispasmodics in combination with analgesics,drugs for functional gastrointestinal disorders,alimentary tract and metabolism drugs
carfecillin,"antibiotics, gynecological","antiinfectives and antiseptics, excl. combinations with corticosteroids",gynecological antiinfectives and antiseptics,genito urinary system and sex hormones
flunisolide,corticosteroid nasal preparations for topical use,decongestants and other nasal preparations for topical use,nasal preparations,respiratory system drugs
triflusal,platelet aggregation inhibitors excl. heparin,antithrombotic agents,antithrombotic agents,blood and blood forming organ drugs
fluvoxamine,selective serotonin reuptake inhibitors,antidepressants,psychoanaleptics,nervous system drugs
ciprofloxacin and ornidazole,combinations of antibacterials,combinations of antibacterials,antibacterials for systemic use,antiinfectives for systemic use
bilastine,other antihistamines for systemic use in atc,antihistamines for systemic use,antihistamines for systemic use,respiratory system drugs
efaproxiral,sensitizers used in photodynamic/radiation therapy,other antineoplastic agents in atc,antineoplastic agents,antineoplastic and immunomodulating agents
minaprine,other antidepressants in atc,antidepressants,psychoanaleptics,nervous system drugs
mannitol,osmotically acting laxatives,drugs for constipation,drugs for constipation,alimentary tract and metabolism drugs
artemether and lumefantrine,"artemisinin and derivatives, combinations",antimalarials,antiprotozoals,"antiparasitic products, insecticides and repellents"
paclitaxel poliglumex,"taxanes, antineoplastic","plant alkaloids and other natural products, antineoplastic drugs",antineoplastic agents,antineoplastic and immunomodulating agents
heparin,other ophthalmologicals in atc,other ophthalmologicals in atc,ophthalmologicals,sensory organ drugs
peginesatide,other antianemic preparations in atc,other antianemic preparations in atc,antianemic preparations,blood and blood forming organ drugs
metirosine,"tyrosine hydroxylase inhibitors, antihypertensives",other antihypertensives in atc,antihypertensives,cardiovascular system drugs
atorvastatin and ezetimibe,hmg coa reductase inhibitors in combination with other lipid modifying agents,"lipid modifying agents, combinations",lipid modifying agents,cardiovascular system drugs
mesoridazine,"phenothiazines with piperidine structure, antipsychotics",antipsychotics,psycholeptics,nervous system drugs
netilmicin,other aminoglycosides in atc,aminoglycoside antibacterials,antibacterials for systemic use,antiinfectives for systemic use
camylofin and analgesics,synthetic anticholinergic agents in combination with analgesics,antispasmodics in combination with analgesics,drugs for functional gastrointestinal disorders,alimentary tract and metabolism drugs
andexanet alfa,antidotes,all other therapeutic products,all other therapeutic products,various drug classes in atc
ferrous succinate,"iron bivalent, oral antianemic preparations",iron antianemic preparations,antianemic preparations,blood and blood forming organ drugs
gadobutrol,paramagnetic contrast media,magnetic resonance imaging contrast media,contrast media,various drug classes in atc
insulin detemir,"insulins and analogues for injection, long-acting",insulins and analogues,drugs used in diabetes,alimentary tract and metabolism drugs
acetazolamide,"carbonic anhydrase inhibitors, antiglaucoma drugs and miotics",antiglaucoma preparations and miotics,ophthalmologicals,sensory organ drugs
nitrofural,medicated dressings with antiinfectives,medicated dressings,medicated dressings,dermatologicals
absorbable gelatin sponge,local hemostatics,vitamin k and other hemostatics,antihemorrhagics,blood and blood forming organ drugs
"papillomavirus (human types 6, 11, 16, 18, 31, 33, 45, 52, 58)",papillomavirus vaccines,viral vaccines,vaccines,antiinfectives for systemic use
trandolapril,"ace inhibitors, plain","ace inhibitors, plain",agents acting on the renin-angiotensin system,cardiovascular system drugs
josamycin,macrolides,"macrolides, lincosamides and streptogramins",antibacterials for systemic use,antiinfectives for systemic use
aprotinin,"proteinase inhibitors, antifibrinolytic",antifibrinolytics,antihemorrhagics,blood and blood forming organ drugs
gonadotropin combinations,gonadotropins,gonadotropins and other ovulation stimulants,sex hormones and modulators of the genital system,genito urinary system and sex hormones
sulbentine,other antifungals for topical use in atc,antifungals for topical use,antifungals for dermatological use,dermatologicals
natalizumab,selective immunosuppressants,immunosuppressants,immunosuppressants,antineoplastic and immunomodulating agents
xylometazoline,"sympathomimetics, combinations excl. corticosteroids",decongestants and other nasal preparations for topical use,nasal preparations,respiratory system drugs
succinimide,other urologicals in atc,urologicals,urologicals,genito urinary system and sex hormones
brinzolamide,"carbonic anhydrase inhibitors, antiglaucoma drugs and miotics",antiglaucoma preparations and miotics,ophthalmologicals,sensory organ drugs
methylscopolamine,"belladonna alkaloids, semisynthetic, quaternary ammonium compounds for functional gastrointestinal disorders","belladonna and derivatives containing drugs, plain for functional gastrointestinal disorders",drugs for functional gastrointestinal disorders,alimentary tract and metabolism drugs
tiadenol,other lipid modifying agents in atc,"lipid modifying agents, plain",lipid modifying agents,cardiovascular system drugs
epinephrine,alpha- and beta-adrenoreceptor agonist inhalants,"adrenergics, inhalants",drugs for obstructive airway diseases,respiratory system drugs
dienogest and estrogen,"progestogens and estrogens, fixed combinations",progestogens and estrogens in combination,sex hormones and modulators of the genital system,genito urinary system and sex hormones
ampicillin,"antibiotics, ophthalmologic",antiinfective ophthalmologics,ophthalmologicals,sensory organ drugs
diphtheria-rubella-tetanus,"bacterial and viral vaccines, combined","bacterial and viral vaccines, combined",vaccines,antiinfectives for systemic use
sodium stibogluconate,antimony compounds for treatment of leishmaniasis and trypanosomiasis,agents against leishmaniasis and trypanosomiasis,antiprotozoals,"antiparasitic products, insecticides and repellents"
triprolidine,other antihistamines for systemic use in atc,antihistamines for systemic use,antihistamines for systemic use,respiratory system drugs
sertindole,"indole derivatives, antipsychotic",antipsychotics,psycholeptics,nervous system drugs
multivitamins and calcium,multivitamins with minerals,"multivitamins, combinations",vitamins,alimentary tract and metabolism drugs
allylestrenol,"estren derivatives, sex hormones and modulators of the genital system",progestogen sex hormones and modulators of the genital system,sex hormones and modulators of the genital system,genito urinary system and sex hormones
iohexol,"watersoluble, nephrotropic, low osmolar x-ray contrast media","x-ray contrast media, iodinated",contrast media,various drug classes in atc
fosfocreatine,other plain cardiac preparations in atc,other cardiac preparations in atc,cardiac therapy drugs,cardiovascular system drugs
tetracaine,esters of aminobenzoic acid for local anesthesia,local anesthetics,anesthetics,nervous system drugs
cilazapril and diuretics,ace inhibitors and diuretics,"ace inhibitors, combinations",agents acting on the renin-angiotensin system,cardiovascular system drugs
panobinostat,other antineoplastic agents in atc,other antineoplastic agents in atc,antineoplastic agents,antineoplastic and immunomodulating agents
brodimoprim,"trimethoprim and derivatives, systemic antibacterials",sulfonamides and trimethoprim antibacterials for systemic use,antibacterials for systemic use,antiinfectives for systemic use
"hemophilus influenzae b, combinations with pertussis and toxoids",hemophilus influenzae b vaccines,bacterial vaccines,vaccines,antiinfectives for systemic use
secnidazole,"nitroimidazole derivatives, antiprotozoal agents against amoebiasis and other protozoal diseases",agents against amoebiasis and other protozoal diseases,antiprotozoals,"antiparasitic products, insecticides and repellents"
fesoterodine,drugs for urinary frequency and incontinence,urologicals,urologicals,genito urinary system and sex hormones
ubidecarenone,other plain cardiac preparations in atc,other cardiac preparations in atc,cardiac therapy drugs,cardiovascular system drugs
canagliflozin,sodium-glucose co-transporter 2 (sglt2) inhibitors,"blood glucose lowering drugs, excl. insulins",drugs used in diabetes,alimentary tract and metabolism drugs
mannitol,solutions producing osmotic diuresis,"iv solutions used in parenteral administration of fluids, electrolytes and nutrients",blood substitutes and perfusion solutions,blood and blood forming organ drugs
etynodiol and estrogen,"progestogens and estrogens, fixed combinations",progestogens and estrogens in combination,sex hormones and modulators of the genital system,genito urinary system and sex hormones
carfilzomib,other antineoplastic agents in atc,other antineoplastic agents in atc,antineoplastic agents,antineoplastic and immunomodulating agents
eluxadoline,antipropulsives,antipropulsives,"antidiarrheals, intestinal antiinflammatory/antiinfective agents",alimentary tract and metabolism drugs
indium (111in) satumomab pendetide,indium-111 tumour detection radiopharmaceuticals,tumour detection radiopharmaceuticals,diagnostic radiopharmaceuticals,various drug classes in atc
ethanol,antidotes,all other therapeutic products,all other therapeutic products,various drug classes in atc
dextranomer,other cicatrizants in atc,cicatrizants,preparations for treatment of wounds and ulcers,dermatologicals
tetanus toxoid,tetanus vaccines,bacterial vaccines,vaccines,antiinfectives for systemic use
collagenase clostridium histolyticum,enzymes for disorders of the musculo-skeletal system,other drugs for disorders of the musculo-skeletal system in atc,other drugs for disorders of the musculo-skeletal system in atc,musculo-skeletal system drugs
sitaxentan,antihypertensives for pulmonary arterial hypertension,other antihypertensives in atc,antihypertensives,cardiovascular system drugs
tropisetron,"serotonin (5ht3) antagonists, antiemetics and antinauseants",antiemetics and antinauseants,antiemetics and antinauseants,alimentary tract and metabolism drugs
etanercept,tumor necrosis factor alpha (tnf-) inhibitors,immunosuppressants,immunosuppressants,antineoplastic and immunomodulating agents
"phenazone, combinations with psycholeptics","pyrazolones, analgesics and antipyretics",other analgesics and antipyretics in atc,analgesics,nervous system drugs
edetates,antidotes,all other therapeutic products,all other therapeutic products,various drug classes in atc
"mumps, live attenuated",mumps vaccines,viral vaccines,vaccines,antiinfectives for systemic use
nintedanib,"protein kinase inhibitors, antineoplastic drugs",other antineoplastic agents in atc,antineoplastic agents,antineoplastic and immunomodulating agents
cloranolol,"beta blocking agents, non-selective",beta blocking agents,beta-adrenergic blocking agents,cardiovascular system drugs
calcium acetate and magnesium carbonate,drugs for treatment of hyperkalemia and hyperphosphatemia,all other therapeutic products,all other therapeutic products,various drug classes in atc
methenamine,other antibacterials in atc,other antibacterials in atc,antibacterials for systemic use,antiinfectives for systemic use
natural phospholipids,lung surfactants,other respiratory system products in atc,other respiratory system products in atc,respiratory system drugs
bencyclane,other peripheral vasodilators in atc,peripheral vasodilators,peripheral vasodilators,cardiovascular system drugs
"clonidine and diuretics, combinations with other drugs",imidazoline receptor agonists in combination with diuretics,antihypertensives and diuretics in combination,antihypertensives,cardiovascular system drugs
tolmetin,"antiinflammatory preparations, non-steroids for topical use",topical products for joint and muscular pain,topical products for joint and muscular pain,musculo-skeletal system drugs
catridecacog,blood coagulation factors,vitamin k and other hemostatics,antihemorrhagics,blood and blood forming organ drugs
clonidine,imidazoline receptor agonists,"antiadrenergic agents, centrally acting",antihypertensives,cardiovascular system drugs
tiratricol,other dermatological preparations in atc,other dermatological preparations in atc,other dermatological preparations in atc,dermatologicals
"insulins and analogs for injection combinations, long-acting","insulins and analogues for injection, long-acting",insulins and analogues,drugs used in diabetes,alimentary tract and metabolism drugs
cocaine,analgesics and anesthetics,other otologicals in atc,otologicals,sensory organ drugs
amoxapine,non-selective monoamine reuptake inhibitors,antidepressants,psychoanaleptics,nervous system drugs
iloperidone,other antipsychotics in atc,antipsychotics,psycholeptics,nervous system drugs
bendroflumethiazide and potassium-sparing agents,low-ceiling diuretics and potassium-sparing agents,diuretics and potassium-sparing agents in combination,diuretics,cardiovascular system drugs
piroxicam,"oxicams, antiinflammatory and antirheumatic drugs","antiinflammatory and antirheumatic products, non-steroids",antiinflammatory and antirheumatic products,musculo-skeletal system drugs
calcium acetate,drugs for treatment of hyperkalemia and hyperphosphatemia,all other therapeutic products,all other therapeutic products,various drug classes in atc
magnesium sulfate,osmotically acting laxatives,drugs for constipation,drugs for constipation,alimentary tract and metabolism drugs
adalimumab,tumor necrosis factor alpha (tnf-) inhibitors,immunosuppressants,immunosuppressants,antineoplastic and immunomodulating agents
technetium (99mtc) tetrofosmin,"technetium 99m compounds, cardiovascular system diagnostic radiopharmaceuticals",cardiovascular system diagnostic radiopharmaceuticals,diagnostic radiopharmaceuticals,various drug classes in atc
ofloxacin and ornidazole,combinations of antibacterials,combinations of antibacterials,antibacterials for systemic use,antiinfectives for systemic use
calcium (different salts in combination),calcium,calcium supplements,mineral supplements,alimentary tract and metabolism drugs
iproclozide,"monoamine oxidase inhibitors, non-selective",antidepressants,psychoanaleptics,nervous system drugs
allopurinol,preparations inhibiting uric acid production,antigout preparations,antigout preparations,musculo-skeletal system drugs
varenicline,drugs used in nicotine dependence,drugs used in addictive disorders,other nervous system drugs in atc,nervous system drugs
tivozanib,"protein kinase inhibitors, antineoplastic drugs",other antineoplastic agents in atc,antineoplastic agents,antineoplastic and immunomodulating agents
dexamethasone,"corticosteroids, combinations for treatment of acne",anti-acne preparations for topical use,anti-acne preparations,dermatologicals
"methocarbamol, combinations with psycholeptics","carbamic acid esters, centrally acting muscle relaxants","muscle relaxants, centrally acting agents",muscle relaxants,musculo-skeletal system drugs
tetracaine,local anesthetics for treatment of hemorrhoids and anal fissures for topical use,agents for treatment of hemorrhoids and anal fissures for topical use,vasoprotectives,cardiovascular system drugs
dequalinium,quinoline gynecological antiinfectives,"antiinfectives and antiseptics, excl. combinations with corticosteroids",gynecological antiinfectives and antiseptics,genito urinary system and sex hormones
technetium (99mtc) sulfur colloid,technetium 99m particles and colloid diagnostic radiopharmaceuticals for hepatic and reticulo endothelial system,hepatic and reticulo endothelial system diagnostic radiopharmaceuticals,diagnostic radiopharmaceuticals,various drug classes in atc
"iron, multivitamins and minerals",iron in other combinations,iron antianemic preparations,antianemic preparations,blood and blood forming organ drugs
gallopamil,"phenylalkylamine derivatives, selective calcium channel blockers with direct cardiac effects",selective calcium channel blockers with direct cardiac effects,calcium channel blockers,cardiovascular system drugs
terazosin,"alpha-adrenoreceptor antagonists, benign prostatic hypertrophy",drugs used in benign prostatic hypertrophy,urologicals,genito urinary system and sex hormones
decamethrin,pyrethrines,insecticides and repellents,"ectoparasiticides, incl. scabicides, insecticides and repellents","antiparasitic products, insecticides and repellents"
emepronium and psycholeptics,synthetic anticholinergic agents in combination with psycholeptics,antispasmodics in combination with psycholeptics,drugs for functional gastrointestinal disorders,alimentary tract and metabolism drugs
fluspirilene,"diphenylbutylpiperidine derivatives, antipsychotics",antipsychotics,psycholeptics,nervous system drugs
procaine,local anesthetics for treatment of hemorrhoids and anal fissures for topical use,agents for treatment of hemorrhoids and anal fissures for topical use,vasoprotectives,cardiovascular system drugs
magnesium oxide,"magnesium supplements, alimentary tract and metabolism",other mineral supplements in atc,mineral supplements,alimentary tract and metabolism drugs
opium derivatives and expectorants,opium derivatives and expectorants,"cough suppressants and expectorants, combinations",cough and cold preparations,respiratory system drugs
enoxaparin,heparin group antithrombotic drugs,antithrombotic agents,antithrombotic agents,blood and blood forming organ drugs
cathine,centrally acting antiobesity products,"antiobesity preparations, excl. diet products","antiobesity preparations, excl. diet products",alimentary tract and metabolism drugs
dexketoprofen,"propionic acid derivatives, antiinflammatory and antirheumatic products","antiinflammatory and antirheumatic products, non-steroids",antiinflammatory and antirheumatic products,musculo-skeletal system drugs
ibuprofen,"propionic acid derivatives, antiinflammatory and antirheumatic products","antiinflammatory and antirheumatic products, non-steroids",antiinflammatory and antirheumatic products,musculo-skeletal system drugs
metformin,biguanide blood glucose lower drugs,"blood glucose lowering drugs, excl. insulins",drugs used in diabetes,alimentary tract and metabolism drugs
batroxobin,other systemic hemostatics in atc,vitamin k and other hemostatics,antihemorrhagics,blood and blood forming organ drugs
zidovudine and lamivudine,"antivirals for treatment of hiv infections, combinations",direct acting antivirals,antivirals for systemic use,antiinfectives for systemic use
demecarium,"parasympathomimetics, antiglaucoma preparations and miotics",antiglaucoma preparations and miotics,ophthalmologicals,sensory organ drugs
cromoglicic acid,other antiallergics in atc,decongestants and antiallergics,ophthalmologicals,sensory organ drugs
cloridarol,other vasodilators used in cardiac diseases in atc,vasodilators used in cardiac diseases,cardiac therapy drugs,cardiovascular system drugs
prenalterol,adrenergic and dopaminergic cardiac stimulants,cardiac stimulants excl. cardiac glycosides,cardiac therapy drugs,cardiovascular system drugs
tetryzoline,"sympathomimetics, plain",decongestants and other nasal preparations for topical use,nasal preparations,respiratory system drugs
pirarubicin,anthracyclines and related substances,cytotoxic antibiotics and related substances,antineoplastic agents,antineoplastic and immunomodulating agents
"colecalciferol, combinations",vitamin d and analogues,"vitamin a and d, incl. combinations of the two",vitamins,alimentary tract and metabolism drugs
radium (223ra) dichloride,various therapeutic radiopharmaceuticals,other therapeutic radiopharmaceuticals in atc,therapeutic radiopharmaceuticals,various drug classes in atc
flurithromycin,macrolides,"macrolides, lincosamides and streptogramins",antibacterials for systemic use,antiinfectives for systemic use
acetyldihydrocodeine,"opium alkaloids and derivatives, cough suppressants","cough suppressants, excl. combinations with expectorants",cough and cold preparations,respiratory system drugs
metformin and saxagliptin,combinations of oral blood glucose lowering drugs,"blood glucose lowering drugs, excl. insulins",drugs used in diabetes,alimentary tract and metabolism drugs
proxymetacaine,local anesthetics,"local anesthetics, ophthalmologic",ophthalmologicals,sensory organ drugs
benzathine phenoxymethylpenicillin,beta-lactamase sensitive penicillins,"beta-lactam antibacterials, penicillins",antibacterials for systemic use,antiinfectives for systemic use
levacetylmethadol,drugs used in opioid dependence,drugs used in addictive disorders,other nervous system drugs in atc,nervous system drugs
policosanol,other lipid modifying agents in atc,"lipid modifying agents, plain",lipid modifying agents,cardiovascular system drugs
guanazodine,"guanine derivatives, peripherally acting antiadrenergic agents","antiadrenergic agents, peripherally acting",antihypertensives,cardiovascular system drugs
tretoquinol,"selective beta-2-adrenoreceptor agonists, systemic",adrenergics for systemic use,drugs for obstructive airway diseases,respiratory system drugs
fluostigmine,"parasympathomimetics, antiglaucoma preparations and miotics",antiglaucoma preparations and miotics,ophthalmologicals,sensory organ drugs
capecitabine,"pyrimidine analogues, antineoplastic antimetabolites",antimetabolites,antineoplastic agents,antineoplastic and immunomodulating agents
desogestrel,progestogen systemic hormonal contraceptives,hormonal contraceptives for systemic use,sex hormones and modulators of the genital system,genito urinary system and sex hormones
"zidovudine, lamivudine and abacavir","antivirals for treatment of hiv infections, combinations",direct acting antivirals,antivirals for systemic use,antiinfectives for systemic use
tibezonium iodide,antiinfectives and antiseptics for local oral treatment,stomatological preparations,stomatological preparations,alimentary tract and metabolism drugs
celiprolol,"beta blocking agents, selective",beta blocking agents,beta-adrenergic blocking agents,cardiovascular system drugs
inositol,other plain vitamin preparations in atc,other plain vitamin preparations in atc,vitamins,alimentary tract and metabolism drugs
"dodeclonium bromide, combinations","quaternary ammonium compounds, antiseptics and disinfectants",antiseptics and disinfectants,antiseptics and disinfectants,dermatologicals
"pilocarpine, combinations","parasympathomimetics, antiglaucoma preparations and miotics",antiglaucoma preparations and miotics,ophthalmologicals,sensory organ drugs
carboprost,"prostaglandins, oxytocics",uterotonics,other gynecologicals in atc,genito urinary system and sex hormones
siltuximab,interleukin inhibitors,immunosuppressants,immunosuppressants,antineoplastic and immunomodulating agents
erythromycin,macrolides,"macrolides, lincosamides and streptogramins",antibacterials for systemic use,antiinfectives for systemic use
iopydol,non-watersoluble x-ray contrast media,"x-ray contrast media, iodinated",contrast media,various drug classes in atc
polymyxin b,antiinfectives,"antiinfectives, ophthalmologic and otologic",ophthalmological and otological preparations,sensory organ drugs
polymyxin b,antiinfectives,"antiinfective drugs, otologic",otologicals,sensory organ drugs
talastine,"substituted alkylamines, systemic antihistamines",antihistamines for systemic use,antihistamines for systemic use,respiratory system drugs
leflunomide,selective immunosuppressants,immunosuppressants,immunosuppressants,antineoplastic and immunomodulating agents
piperacillin,penicillins with extended spectrum,"beta-lactam antibacterials, penicillins",antibacterials for systemic use,antiinfectives for systemic use
